"scientific_name","taxocode","a3_code","isscaap","english_name"
"Cestraeus oxyrhynchus","1650100901","MCW",33,"Sharp-nosed river mullet"
"Joturus pichardi","1650101001","MUA",33,"Bobo mullet"
"Crenimugil heterocheilus","1650101101","MHE",33,"Half fringelip mullet"
"Liza ramada","1650101202","MGC",33,"Thinlip grey mullet"
"Liza aurata","1650101203","MGA",33,"Golden grey mullet"
"Liza richardsonii","1650101204","LZR",33,"South African mullet"
"Liza tricuspidens","1650101205","LZU",33,""
"Liza saliens","1650101206","LZS",33,"Leaping mullet"
"Liza parsia","1650101207","LZP",33,"Goldspot mullet"
"Liza tade","1650101208","LZT",33,"Tade gray mullet"
"Liza macrolepis","1650101209","LZM",33,"Largescale mullet"
"Liza dumerili","1650101215","LZD",33,"Grooved mullet"
"Liza vaigiensis","1650101216","LZV",33,"Squaretail mullet"
"Liza klunzingeri","1650101217","LZK",33,"Klunzinger's mullet"
"Liza subviridis","1650101218","LZI",33,"Greenback mullet"
"Liza spp","16501012XX","LZZ",33,""
"Moolgarda pedaraki","1650102001","MGK",33,"Longfin mullet"
"Rhinomugil corsula","1650103401","RIC",33,"Corsula"
"Chaenomugil proboscideus","1650103901","MCQ",33,"Snouted mullet"
"Myxus elongatus","1650104001","MXE",33,"Sand grey mullet"
"Neomyxus leuciscus","1650104101","NML",33,"Acute-jawed mullet"
"Oedalechilus labeo","1650104201","ODL",33,"Boxlip mullet"
"Oedalechilus labiosus","1650104202","ODZ",33,"Hornlip mullet"
"Valamugil cunnesius","1650104301","VMC",33,"Longarm mullet"
"Valamugil seheli","1650104302","VMH",33,"Bluespot mullet"
"Valamugil speigleri","1650104303","VMP",33,"Speigler's mullet"
"Valamugil spp","16501043XX","VMX",33,""
"Sicamugil hamiltonii","1650104401","MSJ",33,""
"Xenomugil thoburni","1650104501","XET",33,"Thoburn's mullet"
"Mugilidae","16501XXXXX","MUL",33,"Mullets nei"
"Monopterus albus","1680200101","FLT",13,"Asian swamp eel"
"Ophisternon aenigmaticum","1680200201","OFA",13,"Obscure swamp eel"
"Synbranchus marmoratus","1680200402","SXR",13,"Marbled swamp eel"
"Aethiomastacembelus sexdecimspinus","1680400101","AEX",13,""
"Afromastacembelus flavidus","1680400201","AVF",13,""
"Caecomastacembelus aviceps","1680400301","CAV",13,""
"Macrognathus aculeatus","1680400401","MRE",13,""
"Mastacembelus dayi","1680400501","MDY",13,""
"Mastacembelus erythrotaenia","1680400502","MWY",13,"Fire eel"
"Chaudhuria caudata","1680500101","CDW",13,"Burmese spineless eel"
"Chendol keelini","1680500201","CED",13,""
"Nagaichthys filipes","1680500301","NGF",13,""
"Bihunichthys monopteroides","1680500601","BIU",13,""
"Pillaia khajuriai","1680500801","PKJ",13,""
"Dipterygonotus balteatus","1700010001","DTB",33,"Mottled fusilier"
"Gymnocaesio gymnoptera","1700010101","GMY",33,"Slender fusilier"
"Pterocaesio chrysozona","1700011101","TEC",33,"Goldband fusilier"
"Pterocaesio digramma","1700011102","TED",33,"Double-lined fusilier"
"Pterocaesio pisang","1700011103","TEI",33,"Banana fusilier"
